Name,ID,Chromosome,Strand,Gene start,Gene end,Expression start,Expression end,Alias Name,Type,Source,Expression,Host gene,overlapping gene,Rfam ID,p-value,RNA family name,RNA family,comment,Conservation,Reported1 (R) ,Human1 (H),Conserved1 (C),Selected1,ICI1,,Reported2 (R),Human2 (H),Conserved2 (C),Selected2,ICI,,,,,,,,,,,,,
SNORD72,snoID_0202,chr5,-,40832758,40832837,40832834,40832765,SNORD72,CD,HUGO,81107,RPL37,SNORD72,RF00577,1.80E-022,SNORD72,Small nucleolar RNA SNORD72,,Tetrapodes and Teleostes,-,28S-1514,NA,NA,0.4 (H),,28S-4590,28S-4590,28S-4590,RCH:28S-4590,1.21,,,,,,,,,,,,,
SNORD115-40,snoID_0203,chr15,+,25488761,25488842,25488762,25488842,SNORD115-40,CD,HUGO,79197,SNURF-SNRPN,SNORD115-40,RF00105,2.80E-025,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,NA-NA,NA,NA,0 (H),,,,,,,,,,,,,
SNORD114-28,snoID_0204,chr14,+,101455467,101455537,101455469,101455536,SNORD114-28,CD,HUGO,76798,NA,SNORD114-28,RF00181,9.40E-020,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-2918,NA,NA,0.28 (H),,-,28S-2068,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD115-4,snoID_0205,chr15,+,25421979,25422060,25421980,25422060,SNORD115-4,CD,HUGO,74203,SNURF-SNRPN,SNORD115-4,RF00105,3.70E-025,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U1.10-105,NA,NA,0 (H),,,,,,,,,,,,,
SNORD123,snoID_0206,chr5,+,9548939,9549026,9548950,9549016,SNORD123,CD,HUGO,73633,SNHG18,SNORD123,RF01156,1.10E-023,SNORD123,Small nucleolar RNA SNORD123,,Vertebrates,-,28S-2031,28S-2031,CH:28S-2031,1.27,*,-,28S-2642,NA,NA,0.34 (H),,,,,,,,,,,,,
SNORD114-14,snoID_0207,chr14,+,101438440,101438513,101438442,101438512,SNORD114-14,CD,HUGO,72909,RP11-909M7.3,SNORD114-14,RF00181,2.40E-019,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-2918,NA,NA,0.28 (H),,-,28S-2071,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD113-4,snoID_0208,chr14,+,101402828,101402901,101402830,101402898,SNORD113-4,CD,HUGO,69059,NA,SNORD113-4,RF00181,2.90E-012,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,18S-1617,NA,NA,0.09 (H),,-,U2.3-133,NA,NA,0 (H),,,,,,,,,,,,,
SNORD7,snoID_0209,chr17,+,33900676,33900772,33900676,33900770,SNORD7,CD,HUGO,64462,RP11-1094M14.11,SNORD7,RF00288,2.90E-029,snoZ30,Z30 small nucleolar RNA,,Deuterostomes,U6-47,U6.1-47,U6.1-47,RCH:U6.1-47,1.35,,,,,,,,,,,,,,,,,,,
SNORD53,snoID_0210,chr2,+,29149933,29150010,29149933,29150010,SNORD53,CD,HUGO,64283,WDR43,SNORD53,RF00325,9.90E-022,SNORD53_SNORD92,Small nucleolar RNA SNORD53/SNORD92,,Tetrapodes and Teleostes,28S-3848,28S-3848,28S-3848,RCH:28S-3848,1.83,,-,28S-468,NA,NA,0 (H),,,,,,,,,,,,,
SNORD121A,snoID_0211,chr9,-,33952762,33952852,33952841,33952776,SNORD121A,CD,HUGO,63342,UBAP2,SNORD121A,RF01191,7.20E-024,SNORD121A,Small nucleolar RNA SNORD121A,,Tetrapodes and Teleostes,-,18S-1155,NA,NA,0.07 (H),,28S-4607,28S-4607,28S-4607,RCH:28S-4607,0.75,,,,,,,,,,,,,
SNORD41,snoID_0212,chr19,-,12817263,12817332,12817331,12817265,SNORD41,CD,HUGO,61142,TNPO2,SNORD41,RF00588,3.00E-020,SNORD41,Small nucleolar RNA SNORD41,,Eutherians,28S-4276,28S-4276,U4atac.1-55,RH:28S-4276,1.02,,-,NA-NA,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-33,snoID_0213,chr15,+,25475985,25476066,25475986,25476066,SNORD115-33,CD,HUGO,58646,SNHG14,SNORD115-33,RF00105,7.40E-025,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U2.1-85,NA,NA,0.31 (H),,,,,,,,,,,,,
SNORD114-3,snoID_0214,chr14,+,101419686,101419759,101419688,101419758,SNORD114-3,CD,HUGO,58010,NA,SNORD114-3,RF00181,1.30E-022,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-4590,NA,NA,0.5 (H),,-,18S-951,18S-951,CH:18S-951,1.27,*,,,,,,,,,,,,
SNORD89,snoID_0215,chr2,-,101889398,101889511,101889508,101889401,SNORD89,CD,HUGO,55509,RNF149,SNORD89,RF00578,9.70E-034,SNORD89,Small nucleolar RNA SNORD89,,Deuterostomes,-,U4atac.1-92,NA,NA,0.42 (H),,-,U2.1-12,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-14,snoID_0216,chr15,+,25440068,25440148,25440069,25440148,SNORD115-14,CD,HUGO,52643,SNURF-SNRPN,SNORD115-14,RF00105,8.20E-024,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,28S-2824,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-5,snoID_0217,chr15,+,25423885,25423966,25423886,25423966,SNORD115-5,CD,HUGO,52287,SNURF-SNRPN,SNORD115-5,RF00105,5.50E-024,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U1.10-105,NA,NA,0 (H),,,,,,,,,,,,,
SNORD116-29,snoID_0218,chr15,+,25351667,25351751,25351669,25351750,SNORD116-29,CD,HUGO,51418,SNURF-SNRPN,SNORD116-29,RF00108,1.20E-013,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1685,U1.1-33,NA,0.85 (C),,18S-1162,18S-1162,18S-1162,RCH:18S-1162,1.21,,,,,,,,,,,,,
SNORD116-11,snoID_0219,chr15,+,25321075,25321168,25321077,25321167,SNORD116-11,CD,HUGO,36207,SNURF-SNRPN,SNORD116-11,RF00108,2.40E-022,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,U6atac.1-39,NA,NA,0.34 (H),,18S-1162,U4.2-41,18S-1162,RC:18S-1162,1.21,,,,,,,,,,,,,
SNORD114-10,snoID_0220,chr14,+,101433389,101433459,101433391,101433458,SNORD114-10,CD,HUGO,36036,NA,SNORD114-10,RF00181,2.20E-018,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-2806,NA,NA,0.34 (H),,-,U4.1-13,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-8,snoID_0221,chr15,+,25429453,25429534,25429454,25429534,SNORD115-8,CD,HUGO,35120,SNURF-SNRPN,SNORD115-8,RF00105,8.50E-026,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U1.10-105,NA,NA,0 (H),,,,,,,,,,,,,
SNORD113-3,snoID_0222,chr14,+,101396256,101396326,101396258,101396325,SNORD113-3,CD,HUGO,34202,NA,SNORD113-3,RF00181,4.30E-013,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,18S-408,28S-1608,NA,0.89 (C),,-,28S-2641,18S-930,C:18S-930,1.31,*,,,,,,,,,,,,
SNORD107,snoID_0223,chr15,+,25227141,25227215,25227142,25227195,SNORD107,CD,HUGO,32073,SNRPN,SNORD107,RF01164,2.10E-023,SNORD107,Small nucleolar RNA SNORD107,,Eutherians,-,28S-4344,NA,NA,0.38 (H),,-,28S-4828,NA,NA,0 (H),,,,,,,,,,,,,
SNORD114-13,snoID_0224,chr14,+,101436216,101436288,101436218,101436285,SNORD114-13,CD,HUGO,31332,RP11-909M7.3,SNORD114-13,RF00181,1.20E-018,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-1506,18S-1162,C:18S-1162,1.17,*,-,28S-4016,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD115-26,snoID_0225,chr15,+,25463764,25463845,25463765,25463845,SNORD115-26,CD,HUGO,29656,SNHG14,SNORD115-26,RF00105,9.20E-026,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U1.10-105,NA,NA,0 (H),,,,,,,,,,,,,
SNORD91B,snoID_0226,chr17,-,2232419,2232504,2232501,2232421,SNORD91B,CD,HUGO,24811,TSR1,SNORD91B,RF00580,5.80E-027,SNORD91,Small nucleolar RNA SNORD91 family,,Tetrapodes and Teleostes,-,28S-4332,NA,NA,0.26 (H),,28S-4588,28S-4588,28S-4588,RCH:28S-4588,1.56,,,,,,,,,,,,,
SNORD92,snoID_0227,chr2,+,29136528,29136616,29136530,29136615,SNORD92,CD,HUGO,24130,WDR43,SNORD92,RF00325,4.30E-014,SNORD53_SNORD92,Small nucleolar RNA SNORD53/SNORD92,,Vertebrates,28S-3846,28S-3846,28S-3846,RCH:28S-3846,1.94,,-,28S-3118,28S-1973,NA,0.85 (C),,,,,,,,,,,,,
SNORD115-31,snoID_0228,chr15,+,25472256,25472337,25472257,25472337,SNORD115-31,CD,HUGO,23495,SNHG14,SNORD115-31,RF00105,5.30E-025,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U1.10-105,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-1,snoID_0229,chr15,+,25415870,25415951,25415872,25415951,SNORD115-1,CD,HUGO,23073,SNHG14,SNORD115-1,RF00105,2.60E-022,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,NA-NA,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-21,snoID_0230,chr15,+,25453230,25453310,25453231,25453312,SNORD115-21,CD,HUGO,21336,SNHG144,SNORD115-21,RF00105,1.20E-023,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,28S-2165,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-48,snoID_0231,chr15,+,25514930,25515005,25514931,25515005,SNORD115-48,CD,HUGO,20753,SNURF-SNRPN,SNORD115-48,RF00105,9.00E-019,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-3609,28S-4560,NA,0.91 (C),,-,28S-1997,NA,NA,0 (H),,,,,,,,,,,,,
SNORD116-13,snoID_0232,chr15,+,25324204,25324297,25324206,25324296,SNORD116-13,CD,HUGO,19808,SNURF-SNRPN,SNORD116-13,RF00108,9.40E-024,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-4162,NA,NA,0.24 (H),,18S-1162,18S-1162,18S-1162,RCH:18S-1162,1.21,,,,,,,,,,,,,
SNORD11B,snoID_0233,chr2,+,203156040,203156151,203156059,203156138,SNORD11B,CD,HUGO,19437,NOP58,SNORD11B,RF01192,3.10E-024,SNORD11B,Small nucleolar RNA SNORD11B,,Tetrapodes and Teleostes,18S-509,18S-509,18S-509,RCH:18S-509,2.22,,,,,,,,,,,,,,,,,,,
SNORD115-39,snoID_0234,chr15,+,25486893,25486974,25486894,25486974,SNORD115-39,CD,HUGO,15538,SNURF-SNRPN,SNORD115-39,RF00105,2.40E-026,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,28S-2823,NA,NA,0.28 (H),,,,,,,,,,,,,
SNORD115-32,snoID_0235,chr15,+,25474114,25474195,25474115,25474195,SNORD115-32,CD,HUGO,15366,SNURF-SNRPN,SNORD115-32,RF00105,2.60E-024,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,18S-1484,NA,NA,0.26 (H),,,,,,,,,,,,,
SNORD114-5,snoID_0236,chr14,+,101421707,101421775,101421710,101421774,SNORD114-5,CD,HUGO,14307,AL132709.5,SNORD114-5,RF00181,1.50E-017,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-2918,NA,NA,0.28 (H),,-,28S-4016,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD111,snoID_0237,chr16,+,70571908,70572001,70571912,70571998,SNORD111,CD,HUGO,13877,SF3B3,SNORD111,RF00611,1.70E-022,SNORD111,Small nucleolar RNA SNORD111,,Amniotes,-,28S-417,NA,NA,0 (H),,28S-3923,28S-3923,28S-3923,RCH:28S-3923,1.02,,,,,,,,,,,,,
SNORD115-2,snoID_0238,chr15,+,25417782,25417863,25417783,25417863,SNORD115-2,CD,HUGO,13742,SNHG14,SNORD115-2,RF00105,1.30E-022,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U2.2-121,NA,NA,0.48 (H),,,,,,,,,,,,,
SNORD115-35,snoID_0239,chr15,+,25479394,25479475,25479395,25479475,SNORD115-35,CD,HUGO,13529,SNURF-SNRPN,SNORD115-35,RF00105,4.60E-025,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,28S-4063,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-13,snoID_0240,chr15,+,25438468,25438549,25438469,25438549,SNORD115-13,CD,HUGO,12263,NA,SNORD115-13,RF00105,2.10E-025,SNORD115,Small nucleolar RNA SNORD115,,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,NA-NA,NA,NA,0 (H),,,,,,,,,,,,,
SNORD116-12,snoID_0241,chr15,+,25322197,25322290,25322199,25322289,SNORD116-12,CD,HUGO,9652,SNURF-SNRPN,SNORD116-12,RF00108,1.10E-025,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,U2.2-107,NA,NA,0.38 (H),,18S-1162,18S-1162,18S-1162,RCH:18S-1162,1.21,,,,,,,,,,,,,
SNORD96B,snoID_0242,chrX,-,109468217,109468288,109468289,109468218,SNORD96B,CD,HUGO,8596,AMMECR1,SNORD96B,RF00055,0.00000016,SNORD96,Small nucleolar RNA SNORD96 family,,Amniotes,5-8S-75,5.8S-75,18S-597,RH:5.8S-75,1.19,,-,28S-1595,NA,NA,0.31 (H),,,,,,,,,,,,,
SNORD114-29,snoID_0243,chr14,+,101456428,101456496,101456430,101456495,SNORD114-29,CD,HUGO,7724,NA,SNORD114-29,RF00181,1.10E-016,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,U1.7-76,18S-1162,C:18S-1162,1.17,*,-,18S-17,NA,NA,0.25 (H),,,,,,,,,,,,,
SNORD88B,snoID_0244,chr19,-,51302286,51302382,51302376,51302291,SNORD88B,CD,HUGO,5607,C19orf48,SNORD88B,RF00604,2.60E-022,SNORD88,Small nucleolar RNA SNORD88,,Amniotes,-,U1.1-73,NA,NA,0.67 (H),,28S-3680,28S-3680,28S-3680,RCH:28S-3680,1.5,,,,,,,,,,,,,
SNORD23,snoID_0245,chr19,+,48259110,48259219,48259110,48259218,SNORD23,CD,HUGO,5309,GLTSCR2,SNORD23,RF00603,3.20E-032,SNORD23,Small nucleolar RNA SNORD23,,Deuterostomes,-,U6atac.1-59,NA,NA,0.56 (H),,-,U2.2-107,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-28,snoID_0246,chr15,+,25467501,25467574,25467520,25467574,SNORD115-28,CD,HUGO,1830,SNHG14,SNORD115-28,RF00105,6.70E-018,SNORD115,Small nucleolar RNA SNORD115,D-box:CTTA ->no k-turn,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD114-4,snoID_0247,chr14,+,101420681,101420784,101420683,101420781,SNORD114-4,CD,HUGO,1496,NA,SNORD114-4,RF00181,8.40E-017,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-2918,NA,NA,0.28 (H),,-,28S-4016,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD114-16,snoID_0248,chr14,+,101439932,101440000,101439934,101439999,SNORD114-16,CD,HUGO,1487,RP11-909M7.3,SNORD114-16,RF00181,1.00E-016,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-140,18S-1162,C:18S-1162,1.17,*,-,18S-20,NA,NA,0 (H),,,,,,,,,,,,,
SNORD32B,snoID_0249,chr6,+,29550029,29550105,29550029,29550108,SNORD32B,CD,HUGO,1449,NA,SNORD32B,RF00133,9.40E-011,SNORD33,Small nucleolar RNA Z195/SNORD33/SNORD32 family,,Mammals,18S-1328,18S-1328,18S-1328,RCH:18S-1328,2.15,,28S-1511,28S-1511,28S-1511,RCH:28S-1511,1.04,,,,,,,,,,,,,
SNORD114-27,snoID_0250,chr14,+,101454498,101454566,101454500,101454562,SNORD114-27,CD,HUGO,1274,NA,SNORD114-27,RF00181,7.00E-016,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,U1.7-76,18S-1162,C:18S-1162,1.17,*,-,28S-2068,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD114-18,snoID_0251,chr14,+,101442162,101442232,101442165,101442228,SNORD114-18,CD,HUGO,798,RP11-909M7.3,SNORD114-18,RF00181,2.20E-019,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,U11.1-77,NA,NA,0.91 (H),,-,18S-1219,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD19,snoID_0252,chr3,+,52723256,52723331,52723257,52723320,SNORD19,CD,HUGO,774,GNL3,SNORD19,RF00569,1.00E-018,SNORD19,Small nucleolar RNA SNORD19,low expression,Tetrapodes and Teleostes,18S-683,18S-683,18S-683,RCH:18S-683,1.6,,-,U1.5-95,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-27,snoID_0253,chr15,+,25465650,25465725,25465645,25465725,SNORD115-27,CD,HUGO,745,SNHG14,SNORD115-27,RF00105,2.00E-021,SNORD115,Small nucleolar RNA SNORD115,low expression,Eutherians,-,28S-1837,NA,NA,0 (H),,,,,,,,,,,,,,,,,,,
SNORD114-6,snoID_0254,chr14,+,101423503,101423573,101423506,101423569,SNORD114-6,CD,HUGO,722,AL132709.5,SNORD114-6,RF00181,3.00E-019,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,U1.7-76,18S-1162,C:18S-1162,1.17,*,-,28S-178,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD115-24,snoID_0255,chr15,+,25458806,25458876,25458817,25458876,SNORD115-24,CD,HUGO,665,SNHG14,SNORD115-24,RF00105,2.40E-019,SNORD115,Small nucleolar RNA SNORD115,no C-box; low expression,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD115-37,snoID_0256,chr15,+,25483133,25483214,25483134,25483214,SNORD115-37,CD,HUGO,528,SNURF-SNRPN,SNORD115-37,RF00105,2.30E-019,SNORD115,Small nucleolar RNA SNORD115,low expression,Eutherians,-,NA-NA,NA,NA,0 (H),,-,U1.10-105,NA,NA,0 (H),,,,,,,,,,,,,
SNORD114-19,snoID_0257,chr14,+,101442814,101442887,101442816,101442883,SNORD114-19,CD,HUGO,429,RP11-909M7.3,SNORD114-19,RF00181,1.80E-016,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,28S-3546,18S-1162,C:18S-1162,1.17,*,-,18S-1565,NA,NA,0.75 (H),,,,,,,,,,,,,
SNORD115-7,snoID_0258,chr15,+,25427532,25427613,25427537,25427613,SNORD115-7,CD,HUGO,268,SNURF-SNRPN,SNORD115-7,RF00105,2.30E-020,SNORD115,Small nucleolar RNA SNORD115,low expression,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U1.10-105,NA,NA,0 (H),,,,,,,,,,,,,
SNORD115-25,snoID_0259,chr15,+,25460688,25460769,25460689,25460769,SNORD115-25,CD,HUGO,255,SNHG14,SNORD115-25,RF00105,1.10E-021,SNORD115,Small nucleolar RNA SNORD115,low expression,Eutherians,-,28S-4560,28S-4560,NA,0.91 (CH),,-,U1.10-105,NA,NA,0 (H),,,,,,,,,,,,,
SNORD114-31,snoID_0260,chr14,+,101459573,101459646,101459572,101459642,SNORD114-31,CD,HUGO,135,NA,SNORD114-31,RF00181,3.60E-015,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,28S-3546,18S-1162,C:18S-1162,1.17,*,-,28S-1448,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD116-10,snoID_0261,chr15,+,25319260,25319363,25319266,25319363,SNORD116-10,CD,HUGO,99,SNURF-SNRPN,SNORD116-10,RF00108,5.40E-013,SNORD116,Small nucleolar RNA SNORD116,low expression,Eutherians,-,U2.2-107,NA,NA,0.38 (H),,18S-1162,18S-429,18S-1162,RC:18S-1162,1.21,,,,,,,,,,,,,
SNORD114-30,snoID_0262,chr14,+,101458256,101458326,101458258,101458325,SNORD114-30,CD,HUGO,90,NA,SNORD114-30,RF00181,1.40E-013,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,28S-4146,18S-1162,C:18S-1162,1.17,*,-,18S-612,NA,NA,0.13 (H),,,,,,,,,,,,,
SNORD114-8,snoID_0263,chr14,+,101431118,101431188,101431120,101431184,SNORD114-8,CD,HUGO,78,AL132709.8,SNORD114-8,RF00181,8.90E-014,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,U5.4-78,NA,NA,0.41 (H),,-,28S-4016,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD56B,snoID_0264,chr14,+,71865054,71865124,71865056,71865126,SNORD56B,CD,HUGO,53,NA,SNORD56B,RF00275,1.00E-018,SNORD56,Small nucleolar RNA SNORD56,low expression,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD114-2,snoID_0265,chr14,+,101418193,101418269,101418195,101418268,SNORD114-2,CD,HUGO,37,NA,SNORD114-2,RF00181,1.20E-015,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,28S-2862,18S-1162,C:18S-1162,1.17,*,-,28S-2071,NA,NA,0.75 (H),,,,,,,,,,,,,
SNORD115-47,snoID_0266,chr15,+,25513664,25513696,25513664,25513696,SNORD115-47,CD,HUGO,32,SNURF-SNRPN,SNORD115-47,RF00105,0.0000014,SNORD115,Small nucleolar RNA SNORD115,low expression,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD108,snoID_0267,chr15,+,25232072,25232140,25232072,25232143,SNORD108,CD,HUGO,28,SNURF-SNRPN,SNORD108,RF01158,8.50E-022,SNORD108,Small nucleolar RNA SNORD108,low expression,NO,-,18S-195,NA,NA,0 (H),,,,,,,,,,,,,,,,,,,
SNORD115-45,snoID_0268,chr15,+,25509674,25509726,25509670,25509726,SNORD115-45,CD,HUGO,26,SNURF-SNRPN,SNORD115-45,RF00105,3.10E-010,SNORD115,Small nucleolar RNA SNORD115,low expression,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD114-7,snoID_0269,chr14,+,101429391,101429466,101429393,101429465,SNORD114-7,CD,HUGO,16,AL132709.8,SNORD114-7,RF00181,6.10E-011,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,28S-2806,NA,NA,0.34 (H),,-,28S-1135,NA,NA,0 (H),,,,,,,,,,,,,
SNORD116-28,snoID_0270,chr15,+,25349788,25349880,25349790,25349879,SNORD116-28,CD,HUGO,5,SNURF-SNRPN,SNORD116-28,RF00108,0.0000015,SNORD116,Small nucleolar RNA SNORD116,low expression,Eutherians,-,28S-1858,NA,NA,0 (H),,-,18S-1163,NA,NA,0.54 (H),,,,,,,,,,,,,
SNORD113-2,snoID_0271,chr14,+,101393679,101393749,101393681,101393748,SNORD113-2,CD,HUGO,2,NA,SNORD113-2,RF00181,0.00001,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,U7-8,NA,NA,0 (H),,-,U11.1-103,NA,NA,0 (H),,,,,,,,,,,,,
SNORD113-1,snoID_0272,chr14,+,101391158,101391227,101391160,101391227,SNORD113-1,CD,HUGO,1,NA,SNORD113-1,RF00181,0.00000083,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,low expression,Eutherians,-,28S-2167,NA,NA,0 (H),,-,28S-4708,NA,NA,0.25 (H),,,,,,,,,,,,,
SNORD3A,snoID_0273,chr17,+,19091329,19091544,19091329,19091544,SNORD3A,CD,HUGO,685138863,NA,SNORD3A,RF00012,9.00E-049,U3,Small nucleolar RNA U3,cleavage of pre-rRNA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD3C,snoID_0274,chr17,-,19093343,19093558,19093558,19093343,SNORD3C,CD,HUGO,441200991,NA,SNORD3C,RF00012,9.90E-049,U3,Small nucleolar RNA U3,cleavage of pre-rRNA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD3B-1,snoID_0275,chr17,+,18965225,18965440,18965225,18965440,SNORD3B-1,CD,HUGO,87057907,NA,SNORD3B-1,RF00012,3.50E-047,U3,Small nucleolar RNA U3,cleavage of pre-rRNA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD3B-2,snoID_0276,chr17,-,18967234,18967449,18967449,18967234,SNORD3B-2,CD,HUGO,87057214,NA,SNORD3B-2,RF00012,3.50E-047,U3,Small nucleolar RNA U3,cleavage of pre-rRNA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
SNORD3D,snoID_0277,chr17,-,19015734,19015949,19015949,19015733,SNORD3D,CD,HUGO,21878810,NA,SNORD3D,RF00012,2.70E-046,U3,Small nucleolar RNA U3,cleavage of pre-rRNA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
RNU3P3,snoID_0278,chr14,+,85738276,85738405,85738276,85738342,RNU3P3,CD,HUGO,212992,NA,RNU3P3,RF00012,1.20E-011,U3,Small nucleolar RNA U3,pseudogene,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
NA,snoID_0279,chr13,-,107973243,107973311,107973309,107973247,SNORD31,CD,GENCODE,89717,FAM155A,SNORD31,RF00089,2.80E-018,SNORD31,Small nucleolar RNA SNORD31,,Deuterostomes,-,NA-NA,NA,NA,0 (H),,28S-4166,28S-4166,28S-4166,RCH:28S-4166,0.95,,,,,,,,,,,,,
NA,snoID_0280,chr8,+,41284174,41284246,41284177,41284246,SNORD65,CD,GENCODE,54842,NA,SNORD65,RF00571,1.00E-022,SNORD65,Small nucleolar RNA SNORD65,,Vertebrates,-,5.8S-73,NA,NA,0.05 (H),,18S-627,18S-627,18S-627,RCH:18S-627,2.11,,,,,,,,,,,,,
NA,snoID_0281,chrX,-,70065931,70066145,70066145,70065977,SNORD3,CD,GENCODE,33712,TEX11,U3,RF00012,5.70E-041,U3,Small nucleolar RNA U3,cleavage of pre-rRNA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,
